,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
411,3000,30,5,0,0,15000,2,5500,1.8,50,116.99918614253724,-0.07136552262746763,1.0
412,1000,28,3,0,0,5000,2,1000,1.9,50,29.849124362092788,-0.08064808818119873,0.0
413,1000,30,2,0,0,1000,999,3000,1.8,50,116.49377020478083,-0.07141935571121166,1.0
414,3050,8,5,0,0,37000,2,3000,1.8,50,16.473658682319105,-0.08207274164038926,0.0
415,3000,26,3,0,0,3500,1,3500,1.8,50,22.083831044787665,-0.0814751885043566,0.0
416,500,30,3,0,0,3100,2,31000,1.8,50,117.43390856605248,-0.07131921928227755,1.0
417,2000,13,5,0,0,1100,2,2000,1.8,50,16.4979168703242,-0.08207015784164293,0.0
418,1000,30,3,0,0,7000,1,3000,1.9,50,118.57705540273945,-0.07119745992568845,1.0
419,1500,15,5,0,0,18000,1,10000,1.9,50,18.860399314453346,-0.08181852407674192,0.0
420,2500,30,2,0,0,9000,999,4000,1.9,50,118.90753371257253,-0.07116225987519577,1.0
421,1000,15,3,0,0,10000,2,7000,1.9,50,18.70456404282026,-0.0818351224714529,0.0
422,3500,30,3,0,1,11000,1,6500,1.9,50,119.2808178065666,-0.07112250047627079,1.0
423,3500,30,5,0,0,15700,2,3000,1.9,50,119.21195411836771,-0.07112983531559182,1.0
424,600,7,3,0,0,5880,2,4500,1.9,50,18.018451465660206,-0.08190820199480163,0.0
425,1000,17,2,0,0,9720,1,4500,1.8,50,16.859645907107513,-0.0820316292000329,0.0
426,800,11,4,0,0,8000,2,3000,1.8,50,16.131110609938048,-0.08210922727071725,0.0
427,1400,20,3,0,0,8500,1,4000,1.8,50,17.576624185897085,-0.08195526209555244,0.0
428,4000,30,5,0,0,7300,2,2500,1.53,50,114.82322257330424,-0.07159728981226691,1.0
429,4000,10,3,0,0,13000,2,6000,1.9,50,19.097074858534462,-0.08179331518752239,0.0
430,2500,30,5,0,0,13000,2,8000,1.9,50,118.98995120215561,-0.07115348138744489,1.0
431,5000,30,5,1,0,10000,999,3000,1.53,50,115.49897589364922,-0.0715253136786176,1.0
432,6000,30,4,0,0,10000,2,7000,1.8,50,119.43002019317728,-0.07110660856631466,1.0
434,1000,9,3,0,0,8000,2,4000,1.8,50,16.062767298136997,-0.08211650668347945,0.0
435,1000,5,2,0,0,10000,1,6000,1.8,50,16.011552726028867,-0.08212196167241678,0.0
436,3300,30,5,0,0,8000,2,5000,1.8,50,117.09130048478217,-0.07135571130429862,1.0
437,1000,30,5,0,0,12000,1,7000,1.8,50,116.57321402416078,-0.07141089395632398,1.0
438,1000,30,2,0,0,20000,2,5000,1.9,50,118.61533288722846,-0.0711933828974943,1.0
439,1000,29,4,0,0,7000,1,4000,1.9,50,40.135956450718126,-0.07955241261594839,0.0
440,1500,30,3,0,0,9000,2,3000,1.9,50,118.66496625885199,-0.07118809632607558,1.0
441,3500,26,4,0,0,16000,2,6000,1.8,50,22.310763803746536,-0.08145101734293354,0.0
442,650,17,3,0,0,10500,2,5000,1.8,50,16.815052611857478,-0.08203637894062929,0.0
443,1800,30,4,0,0,9000,2,2500,1.8,50,116.63207993333874,-0.07140462400482123,1.0
444,2500,30,5,0,0,7000,2,3000,1.9,50,118.88873673175152,-0.07116426198745042,1.0
445,1000,3,5,0,0,34000,1,10000,1.8,50,16.230553759254704,-0.08209863533843924,0.0
446,1000,30,5,0,0,9000,2,1900,1.53,50,113.95534043003778,-0.07168973005525926,1.0
447,1050,15,3,0,0,6000,2,3000,1.9,50,18.633342126638567,-0.08184270849138578,0.0
448,500,30,5,0,0,7000,2,4000,1.8,50,116.43637730813182,-0.07142546876855872,1.0
449,5000,17,5,0,0,8000,2,5000,1.8,50,18.39318003917298,-0.08186828874084144,0.0
450,1000,30,5,0,0,25000,2,6000,1.9,50,118.63553488702401,-0.07119123113324322,1.0
451,600,30,3,1,0,10000,2,4000,1.8,50,116.45079164266565,-0.0714239334626451,1.0
452,3500,29,3,0,0,8000,2,6000,1.8,50,38.72725247185134,-0.0797024571111844,0.0
453,1500,20,4,1,0,15000,2,5000,1.8,50,17.614752398488772,-0.08195120096667201,0.0
454,3800,30,5,0,1,9000,2,5000,1.8,50,117.29392252029022,-0.07133412953730031,1.0
455,1000,18,2,0,0,9100,2,5600,1.8,50,17.063827795692223,-0.08200988128928045,0.0
456,1600,30,5,0,0,18000,2,4000,1.9,50,118.70299366218585,-0.07118404593463497,1.0
457,1050,14,3,0,0,8000,2,8000,1.33,50,13.15938102344871,-0.08242575343410705,0.0
458,1500,3,3,0,0,9200,2,2000,1.9,50,18.236232766004207,-0.08188500557754706,0.0
459,4000,30,5,0,0,8500,2,5000,1.8,50,117.3891538132931,-0.07132398622010688,1.0
460,3500,26,5,0,0,7000,2,4000,1.33,50,18.894949976089187,-0.08181484400153592,0.0
461,2000,7,5,0,1,14000,2,4000,1.53,50,13.659261655548445,-0.08237250992926369,0.0
462,1500,30,3,0,1,7500,2,8000,1.8,50,116.68289553129746,-0.07139921151159326,1.0
463,4000,30,5,0,0,38000,1,10000,1.8,50,117.49824456370457,-0.07131236669831525,1.0
464,2000,30,5,0,0,9000,1,1500,1.8,50,116.65725245106155,-0.0714019428185875,1.0
465,3000,30,5,0,0,10000,1,10000,1.53,50,114.57976812044379,-0.07162322073958763,1.0
466,1000,30,2,0,1,9000,1,3500,1.9,50,118.58637072111006,-0.07119646772841788,1.0
467,800,15,5,0,0,14000,2,8000,1.8,50,16.611303766514045,-0.08205808072689035,0.0
469,1000,8,4,0,0,10000,1,3500,1.53,50,13.491182557161405,-0.0823904124438129,0.0
470,1500,30,5,0,0,4500,1,1800,1.8,50,116.5599773260658,-0.0714123038293094,1.0
471,2500,30,3,0,0,6900,1,1000,1.8,50,116.76976911980277,-0.07138995839388212,1.0
472,1400,12,4,0,0,3500,1,1700,0.0,250,11.17688916541514,-0.08263691347525878,0.0
473,500,30,2,1,0,15000,2,4000,1.8,50,116.43637730813182,-0.07142546876855872,1.0
